Equipes,Pts,Ranking,Pts,Fastest Lap,,Pole,
RB,194,Hernan Muniz,136,Fidelix,2,Fidelix,3
Aston Martin,173,Fidelix,101,Hernan Muniz,1,Hernan Muniz,1
Alpine,171,Jura,97,Danilo,1,,
Mercedes,167,Carolinne Walker,89,,,,
Red Bull,155,Nexus,89,,,,
Haas,123,Castanha,88,,,,
Sauber,98,Rauzera,79,,,,
Ferrari,89,Danilo,78,,,,
Williams,75,Dr Goku F1,76,,,,
McLaren,57,Gian,76,,,,
,,Rafael,70,,,,
,,Aldo Ribeiro,58,,,,
,,Gladiador,54,,,,
,,Don Pipa,45,,,,
,,Netinho,44,,,,
,,Verdugo Cba,35,,,,
,,Edgar,34,,,,
,,El Juli,30,,,,
,,Juan Jerez,22,,,,
,,Dreveck,1,,,,
