ID Equipes,Nome Equipes,Ponto Equipes,,ID Pilotos,Nome Pilotos,Ponto Pilotos,,ID Cartas,Carta Nome,Anterior,Racecraft,Awareness,Pace,Experience,Atual,Melhor Carta,Presencas,Pontos,Media,Media Quali,Poles,VR,Pos Ganhas,Vitorias GP,Podios,Vitorias Sprint,Temporadas,Vitoria Campeonato,Vitoria Equipe
cm171y3xg810s07lrae3pt6ou,Haas,245,,cmhhcwf7hvksl07n1kxqhxprz,Daniel Macedo,155,,cmkynk8h2frnp08loej6h7f52,Alam Silveira,73,85,84,82,86,76,73,5,60,15.0,9,0,0,5,0,0,0,,0,0
cm4j59ui3h6gy07n3xg0yys2w,Sauber,201,,cmhhfkm8qwtpz09lq3q932vkc,Mario Leon,151,,cmkynq6agg4o708lo8tlo5j0w,Antony Vieira,63,65,88,68,84,64,64,4,20,6.7,16,0,0,3,0,0,0,,0,0
cm171wgpj7zel07lrzeaohzeh,Red Bull,190,,cmeqfoulf50mu07likfkzp83k,BrDill-B,142,,cmeqfoulf50mu07likfkzp83k,BrDill-B,87,99,78,94,99,87,87,14,283,21.9,3,1,2,9,5,8,0,1,0,1
cm1723tpfiql507n1m1juksgn,McLaren,184,,cmkyockihgoh308lonqzzlua5,UFB Rodrigo,135,,cmhhcwf7hvksl07n1kxqhxprz,Daniel Macedo,87,96,99,88,99,86,87,14,252,19.8,6,1,0,6,1,5,1,1,0,0
cm13yam3al0tv08luv7al44ni,Ferrari,179,,cmhhfmr9mwul109lqv9si0p6n,Ruben Geovany,133,,,Dezok,78,93,39,88,96,79,85,10,151,18.7,6,1,0,6,1,4,0,1,0,0
cm1314oqh914e08mx873aiuvj,Mercedes,166,,cmkyowu86h6c408lo92599slw,Lopes,115,,cmhhflu7uwh9c07n1lhvmf0wb,Doss,68,67,72,80,99,68,70,14,95,7.5,10,0,0,3,0,0,0,1,0,0
cm1720qvg82uq07lr2vfiab5p,Aston Martin,83,,cmkyo9gojgnka08lot0bjaemu,ERT Hayorang,107,,cmkyog6rugpp008lobki7284y,Felipe Gabriel,78,95,80,76,84,79,80,4,58,19.3,12,0,0,13,0,1,0,,0,0
cm140clx5mbm108luxwyfy8rp,Racing Bulls,61,,cmhhehkzlwfhy09lqbkrj0sv9,Ivan Diniz,69,,cmhhegd34wf7209lqttipvbhl,Filipe Cunha,65,62,75,80,94,66,70,9,61,5.6,10,0,0,0,0,0,0,1,0,0
cm171x3p07zt207lrdom0nd62,Williams,46,,cmhhflu7uwh9c07n1lhvmf0wb,Doss,62,,cmkyo9gojgnka08lot0bjaemu,ERT Hayorang,79,91,94,88,90,82,83,7,106,17.7,6,0,0,9,0,2,1,,0,0
cm1722vuq84qa07lrpm2vga42,Alpine,30,,cmkynk8h2frnp08loej6h7f52,Alam Silveira,61,,cmkyosl1mh25h07loc9uxio6w,Gilberto Miranda,60,61,78,78,88,64,60,6,25,5.0,11,0,0,1,0,0,0,,0,0
,,0,,cmkyog6rugpp008lobki7284y,Felipe Gabriel,59,,cmhhehkzlwfhy09lqbkrj0sv9,Ivan Diniz,69,73,92,82,99,73,70,13,123,10.3,9,0,0,0,0,0,0,1,0,0
,,0,,cmkyo38gwgj7m07lokp94nvvi,Neystappen Senna,59,,cm4dcotul7kpr07n0gkc7gzy9,Juan,65,71,94,78,98,71,70,11,94,9.1,11,0,0,2,0,0,0,1,0,0
,,,,cmm0u9a8m79rc07myiav0krg1,Lucas,46,,cmhhfg332wsu509lqxy5n89dh,Jymmi Bonutti,76,77,87,88,98,76,79,11,134,11.7,6,0,0,2,0,0,0,1,0,1
,,,,cmhhfg332wsu509lqxy5n89dh,Jymmi Bonutti,40,,cmhhegsazwf9k09lqpvlewiav,KGR Isaacczz,71,73,77,84,92,72,79,8,93,10.1,8,0,0,0,0,1,0,1,0,0
,,,,cm4dcotul7kpr07n0gkc7gzy9,Juan,26,,cmkyowu86h6c408lo92599slw,Lopes,82,94,90,92,90,84,82,7,114,19.0,4,0,1,1,0,1,0,,0,0
,,,,cmkyosl1mh25h07loc9uxio6w,Gilberto Miranda,26,,cmhhfkm8qwtpz09lq3q932vkc,Mario Leon,78,91,75,92,99,82,79,14,219,17.5,4,2,1,8,2,4,0,1,0,0
,,,,cmkynq6agg4o708lo8tlo5j0w,Antony Vieira,21,,cmkyo38gwgj7m07lokp94nvvi,Neystappen Senna,79,84,85,86,86,77,79,5,58,14.5,7,0,0,2,0,0,0,,0,0
,,,,cm7xz0son8qnr07n3ru25q4cj,Matheus,20,,cmhhfmr9mwul109lqv9si0p6n,Ruben Geovany,86,99,89,94,99,88,86,14,249,21.0,3,0,3,6,2,6,0,1,0,0
,,,,cmhhegsazwf9k09lqpvlewiav,KGR Isaacczz,14,,cmkyockihgoh308lonqzzlua5,UFB Rodrigo,83,99,92,88,90,86,83,7,134,22.3,6,0,0,12,0,2,0,,0,0
,,,,cmhhegd34wf7209lqttipvbhl,Filipe Cunha,4,,cmhhfng2ewuq509lqb9xiyqww,Zé Ricardo,65,71,89,70,94,68,70,9,45,9.2,15,0,0,1,0,0,0,,0,1
,,,,,,,,cmm0u9a8m79rc07myiav0krg1,Lucas,60,76,69,82,84,71,,4,4600%,11.5,9,0,0,5,0,0,0,,,
,,,,,,,,cm7xz0son8qnr07n3ru25q4cj,Matheus,83,97,87,99,80,86,83,2,2000%,20.0,0,0,0,0,0,0,0,,0,0
