ID Equipes,Nome Equipes,Ponto Equipes,,ID Pilotos,Nome Pilotos,Ponto Pilotos,,ID Cartas,Carta Nome,Anterior,Racecraft,Awareness,Pace,Experience,Atual,Melhor Carta,Presencas,Pontos,Media,Media Quali,Poles,VR,Pos Ganhas,Vitorias GP,Podios,Vitorias Sprint,Temporadas,Vitoria Campeonato,Vitoria Equipe
cm171x3p07zt207lrdom0nd62,Williams,189,,cmeqgoneh5y5y07mzol8xwf08,William Gleiker,161,,cm4dcil6r7css07lowlk6dl2t,Aldo Ribeiro,83,80,97,78,99,83,83.63773148,73,903,11.0,11,0,0,4,1,1,3,8,0,2
cm171y3xg810s07lrae3pt6ou,Haas,188,,cmhhfc75swrmu09lq9an9mgoo,VCL Rymito,161,,cmhhf6zyjwbsc07n1qr4orbkb,Alexandre Henrique,80,75,88,78,99,79,80.00347222,26,252,9.3,11,0,0,4,0,0,0,2,0,0
cm1723tpfiql507n1m1juksgn,McLaren,161,,cmkh7a3rx6odn08n1yeeenla7,KGR Abraão,137,,cmhhfl393wtul09lq3fr0erxv,Batistta,81,78,93,74,90,80,80.71894841,7,73,10.4,13,0,0,22,0,0,0,0,0,0
cm171wgpj7zel07lrzeaohzeh,Red Bull,160,,cmfqajfw1ig2v07lp4gb25097,Toretto,126,,cmeqfo40i506o07lihq1x0pde,Blazer,70,58,90,72,99,69,71,23,83,3.2,14,0,0,0,0,0,0,2,0,0
cm140clx5mbm108luxwyfy8rp,Racing Bulls,159,,cmhhfao3xwrc009lq197a2v10,Max,113,,cmhhabh6kux7609lqo28yj8ml,BrDill,78,75,81,74,99,78,78.91875,23,205,9.4,13,0,0,35,0,0,0,2,0,1
cm13yam3al0tv08luv7al44ni,Ferrari,156,,cmhhfefsiwf0p07n1d6uyudd6,UNA Loki,113,,cm12uk2e66xo208lunw8ztjh7,Danilo,84,81,78,84,99,84,88,88,1272,11.4,8,3,5,14,2,0,3,8,1,2
cm1720qvg82uq07lr2vfiab5p,Aston Martin,156,,cmeboed68ysuu07n3vwpq3a87,Nando Morente,101,,cmkh75p7a6ku907n36jl1mu79,Dr Daan,94,92,96,99,86,94,96.49328704,5,77,15.4,1,1,2,2,1,3,0,0,0,0
cm1314oqh914e08mx873aiuvj,Mercedes,152,,cmeqftuv75en607mzgacxvrlm,Gabriel Martins,99,,cmcwuk0ayak7c07n0lzyqtdow,Feliplay,78,73,99,70,99,78,77.50347222,25,253,8.8,15,0,0,18,0,0,0,3,0,0
cm4j59ui3h6gy07n3xg0yys2w,Sauber,145,,cm12uk2e66xo208lunw8ztjh7,Danilo,94,,cm9aravfzjhoj07lt91lapm2q,Fernando,80,73,94,82,99,80,90,36,508,8.6,9,0,1,2,0,0,2,5,0,0
cm1722vuq84qa07lrpm2vga42,Alpine,12,,cmhhabh6kux7609lqo28yj8ml,BrDill,87,,cmeqftuv75en607mzgacxvrlm,Gabriel Martins,91,85,94,94,99,90,93,19,259,12.8,3,3,2,3,2,6,0,2,0,2
,,0,,cmkh75p7a6ku907n36jl1mu79,Dr Daan,77,,cm4dcqu097lbc07loprwamp2t,Jura,83,82,91,78,99,83,88,62,930,11.9,11,0,0,11,0,0,0,7,0,2
,,0,,cmhhfl393wtul09lq3fr0erxv,Batistta,73,,cmkh7a3rx6odn08n1yeeenla7,KGR Abraão,94,97,97,88,92,94,93.69097222,8,137,17.1,6,0,0,7,1,4,0,0,0,0
,,,,cmhhf6zyjwbsc07n1qr4orbkb,Alexandre Henrique,66,,cmhhfao3xwrc009lq197a2v10,Max,97,97,93,96,99,97,98.79375,25,425,17.4,2,4,2,1,5,8,0,2,0,0
,,,,cm4dcil6r7css07lowlk6dl2t,Aldo Ribeiro,61,,cmeboed68ysuu07n3vwpq3a87,Nando Morente,86,81,94,84,99,85,89,38,381,11.5,8,0,1,4,0,0,0,2,0,1
,,,,cm4dcqu097lbc07loprwamp2t,Jura,56,,cmhhf97lfwqeq09lq08fusacv,NBR Sant.h,61,52,85,62,75,61,60.52013889,1,1,1.0,19,0,0,0,0,0,0,1,0,0
,,,,cmcwuk0ayak7c07n0lzyqtdow,Feliplay,48,,cmkh77ln46mpm08n139i31mwd,Pedro Lukashevich,70,49,92,99,70,70,70.35625,0,0,0.0,0,0,0,0,0,0,0,0,0,0
,,,,cm9aravfzjhoj07lt91lapm2q,Fernando,27,,cmfqajfw1ig2v07lp4gb25097,Toretto,88,88,88,84,99,88,88.29583333,39,522,13.9,8,0,0,16,0,0,2,2,0,0
,,,,cmeqfo40i506o07lihq1x0pde,Blazer,14,,cmhhfefsiwf0p07n1d6uyudd6,UNA Loki,88,84,96,86,99,88,87.58819444,13,170,12.8,7,1,2,2,1,3,0,1,0,0
,,,,cmhhcvk6avkku07n1ffuekdkw,Andrade JF,12,,cmhhfc75swrmu09lq9an9mgoo,VCL Rymito,95,98,88,92,99,95,95.58759921,26,435,17.6,4,0,0,7,0,9,0,2,0,0
,,,,cmhhf97lfwqeq09lq08fusacv,NBR Sant.h,1,,cmeqgoneh5y5y07mzol8xwf08,William Gleiker,99,99,89,94,99,99,99,23,476,20.6,3,5,7,18,8,13,0,2,2,1
,,,,cmkh77ln46mpm08n139i31mwd,Pedro Lukashevich,0,,cmhhcvk6avkku07n1ffuekdkw,Andrade JF,70,60,92,76,82,70,77.37013889,3,12,4.0,12,0%,0,1,0,0,0,0,0,0
