Equipes,Pts,Ranking,Pts,Fastest Lap,,Pole,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes,374,Rafael,253,Danilo,2,Jura,2,,,,,,,,,,,,,,,,,,,,,,,
Alpine,371,Don Pipa,215,Rauzera,2,Aldo Ribeiro,1,,,,,,,,,,,,,,,,,,,,,,,
Williams,371,Edgar,213,Fidelix,1,Danilo,1,,,,,,,,,,,,,,,,,,,,,,,
Haas,360,Danilo,197,Aldo Ribeiro,1,Dr Goku F1,1,,,,,,,,,,,,,,,,,,,,,,,
Red Bull,341,Castanha,194,Don Pipa,1,Fidelix,1,,,,,,,,,,,,,,,,,,,,,,,
RB,318,Gian,193,Rafael,1,Gian,1,,,,,,,,,,,,,,,,,,,,,,,
Aston Martin,317,A. Navarro,177,,,Hernan Muniz,1,,,,,,,,,,,,,,,,,,,,,,,
Ferrari,292,Aldo Ribeiro,176,,,A. Navarro,1,,,,,,,,,,,,,,,,,,,,,,,
McLaren,226,Verdugo Cba,176,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dr Goku F1,169,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,El Juli,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jura,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rauzera,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nexus,147,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hernan Muniz,142,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fidelix,118,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dreveck,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Juan Jerez,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
